Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Peru	Tangara_punctata	0.21	11.7	6.8	15
Peru	Tangara_ruficervix	0.24	12.8	7.6	19
Peru	Tangara_vassorii	0.23	12.8	8.0	18
Peru	Tangara_xanthocephala	0.22	12.9	7.3	19
Peru	Thraupis_bonariensis	0.20	16.7	11.0	36
Peru	Thraupis_cyanocephala	0.16	16.9	10.7	36
Peru	Thraupis_episcopus	0.23	17.5	10.2	35
Peru	Thraupis_palmarum	0.22	18.5	9.6	39
Peru	Trichothraupis_melanops	0.19	17.0	9.2	24.3
Peru	Trogon_personatus	0.37	21.2	16.0	63.4
Peru	Turdus_chiguanco	0.22	32.5	13.5	93.3
Peru	Turdus_fuscater	0.18	33.8	14.5	143
Peru	Turdus_serranus	0.21	30.7	13.3	84.9
Peru	Xenopipo_unicolor	0.19	14.7	10.0	15.5
Peru	Zimmerius_bolivianus	0.14	11.3	6.5	11
